season,team,uefa_coefficient
2023,Real Madrid CF,121.000
2023,Manchester City FC,145.000
2023,FC Bayern München,136.000
2023,FC Barcelona,98.000
2023,Paris Saint-Germain FC,112.000
2023,Celtic FC,42.000
2023,Galatasaray SK,31.500
2024,Real Madrid CF,136.000
2024,Manchester City FC,148.000
2024,FC Bayern München,144.000
2024,FC Barcelona,91.000
2024,Paris Saint-Germain FC,116.000
2024,Celtic FC,32.000
2024,Galatasaray SK,31.500
2025,Real Madrid CF,131.500
2025,Manchester City FC,117.750
2025,FC Bayern München,124.250
2025,FC Barcelona,96.250
2025,Paris Saint-Germain FC,109.500
2025,Celtic FC,38.000
2025,Galatasaray SK,41.000
