league,sport_key,api_team,status,matched_model_team,best_candidate,best_score,second_best_score,score_margin,distinctive_overlap,reason
Belgian First Division,soccer_belgium_first_div,Anderlecht,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Belgian First Division,soccer_belgium_first_div,Cercle Brugge KSV,MISSING,,Club Brugge KV,0.29598064516129036,0.0,0.29598064516129036,brugge,The best candidate score is below the required threshold of 84%.
Belgian First Division,soccer_belgium_first_div,Charleroi,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Belgian First Division,soccer_belgium_first_div,Genk,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Belgian First Division,soccer_belgium_first_div,Gent,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Belgian First Division,soccer_belgium_first_div,KV Kortrijk,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Belgian First Division,soccer_belgium_first_div,KV Mechelen,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Belgian First Division,soccer_belgium_first_div,Leuven,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Belgian First Division,soccer_belgium_first_div,Lommel SK,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Belgian First Division,soccer_belgium_first_div,RAAL La Louvière,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Belgian First Division,soccer_belgium_first_div,SK Beveren,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Belgian First Division,soccer_belgium_first_div,SV Zulte-Waregem,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Belgian First Division,soccer_belgium_first_div,Sint Truiden,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Belgian First Division,soccer_belgium_first_div,Standard Liege,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
