match_id,date,competition,season,stage,matchday,home_team,away_team,home_goals,away_goals,winner,country,league_name,data_source
441792,2023-08-19,BL1,2023,REGULAR_SEASON,1.0,Bayer 04 Leverkusen,RB Leipzig,3,2,H,,BL1,existing_project_data
league_96688ff060cf842a,2023-08-19,BUNDESLIGA,2023-24,LEAGUE,,Bayer 04 Leverkusen,RB Leipzig,3,2,H,Germany,Bundesliga,football-data.co.uk
441497,2023-08-20,DED,2023,REGULAR_SEASON,2.0,Sparta Rotterdam,Feyenoord Rotterdam,2,2,D,,DED,existing_project_data
league_42b1bcaf69371344,2023-08-20,EREDIVISIE,2023-24,LEAGUE,,Sparta Rotterdam,Feyenoord Rotterdam,2,2,D,Netherlands,Eredivisie,football-data.co.uk
441802,2023-08-26,BL1,2023,REGULAR_SEASON,2.0,Borussia Mönchengladbach,Bayer 04 Leverkusen,0,3,A,,BL1,existing_project_data
league_a761f802339df3c8,2023-08-26,BUNDESLIGA,2023-24,LEAGUE,,Borussia Mönchengladbach,Bayer 04 Leverkusen,0,3,A,Germany,Bundesliga,football-data.co.uk
444280,2023-09-01,SA,2023,REGULAR_SEASON,3.0,AS Roma,AC Milan,1,2,A,,SA,existing_project_data
league_70b289df0bbf5488,2023-09-01,SERIE_A,2023-24,LEAGUE,,AS Roma,AC Milan,1,2,A,Italy,Serie A,football-data.co.uk
441811,2023-09-02,BL1,2023,REGULAR_SEASON,3.0,Borussia Mönchengladbach,FC Bayern München,1,2,A,,BL1,existing_project_data
league_b88006e1d78d82c0,2023-09-02,BUNDESLIGA,2023-24,LEAGUE,,Borussia Mönchengladbach,FC Bayern München,1,2,A,Germany,Bundesliga,football-data.co.uk
442742,2023-09-03,FL1,2023,REGULAR_SEASON,4.0,Olympique Lyonnais,Paris Saint-Germain FC,1,4,A,,FL1,existing_project_data
league_bf0363c0c5a39983,2023-09-03,LIGUE_1,2023-24,LEAGUE,,Olympique Lyonnais,Paris Saint-Germain FC,1,4,A,France,Ligue 1,football-data.co.uk
441816,2023-09-15,BL1,2023,REGULAR_SEASON,4.0,FC Bayern München,Bayer 04 Leverkusen,2,2,D,,BL1,existing_project_data
league_b233faf1f2480d20,2023-09-15,BUNDESLIGA,2023-24,LEAGUE,,FC Bayern München,Bayer 04 Leverkusen,2,2,D,Germany,Bundesliga,football-data.co.uk
441830,2023-09-23,BL1,2023,REGULAR_SEASON,5.0,Borussia Mönchengladbach,RB Leipzig,0,1,A,,BL1,existing_project_data
league_3dab3c4298dada2e,2023-09-23,BUNDESLIGA,2023-24,LEAGUE,,Borussia Mönchengladbach,RB Leipzig,0,1,A,Germany,Bundesliga,football-data.co.uk
league_611675e57aeca7e4,2023-09-24,LA_LIGA,2023-24,LEAGUE,,Club Atlético de Madrid,Real Madrid CF,3,1,H,Spain,La Liga,football-data.co.uk
438524,2023-09-24,PD,2023,REGULAR_SEASON,6.0,Club Atlético de Madrid,Real Madrid CF,3,1,H,,PD,existing_project_data
444318,2023-09-30,SA,2023,REGULAR_SEASON,7.0,AC Milan,SS Lazio,2,0,H,,SA,existing_project_data
league_35ee84f0f83cf962,2023-09-30,SERIE_A,2023-24,LEAGUE,,AC Milan,SS Lazio,2,0,H,Italy,Serie A,football-data.co.uk
441536,2023-09-30,DED,2023,REGULAR_SEASON,7.0,Feyenoord Rotterdam,Go Ahead Eagles,3,1,H,,DED,existing_project_data
league_c97bdbaa161af74f,2023-09-30,EREDIVISIE,2023-24,LEAGUE,,Feyenoord Rotterdam,Go Ahead Eagles,3,1,H,Netherlands,Eredivisie,football-data.co.uk
441834,2023-09-30,BL1,2023,REGULAR_SEASON,6.0,RB Leipzig,FC Bayern München,2,2,D,,BL1,existing_project_data
league_0354fe7e9f6ccbd7,2023-09-30,BUNDESLIGA,2023-24,LEAGUE,,RB Leipzig,FC Bayern München,2,2,D,Germany,Bundesliga,football-data.co.uk
441562,2023-10-22,DED,2023,REGULAR_SEASON,9.0,Go Ahead Eagles,Sparta Rotterdam,0,0,D,,DED,existing_project_data
league_7d6ecd350c560175,2023-10-22,EREDIVISIE,2023-24,LEAGUE,,Go Ahead Eagles,Sparta Rotterdam,0,0,D,Netherlands,Eredivisie,football-data.co.uk
