match_id,date,competition,season,stage,matchday,home_team,away_team,home_goals,away_goals,winner,country,league_name,data_source
441792,2023-08-19,BL1,2023,REGULAR_SEASON,1.0,Bayer 04 Leverkusen,RB Leipzig,3,2,H,,BL1,existing_project_data
441497,2023-08-20,DED,2023,REGULAR_SEASON,2.0,Sparta Rotterdam,Feyenoord Rotterdam,2,2,D,,DED,existing_project_data
441802,2023-08-26,BL1,2023,REGULAR_SEASON,2.0,Borussia Mönchengladbach,Bayer 04 Leverkusen,0,3,A,,BL1,existing_project_data
444280,2023-09-01,SA,2023,REGULAR_SEASON,3.0,AS Roma,AC Milan,1,2,A,,SA,existing_project_data
441811,2023-09-02,BL1,2023,REGULAR_SEASON,3.0,Borussia Mönchengladbach,FC Bayern München,1,2,A,,BL1,existing_project_data
442742,2023-09-03,FL1,2023,REGULAR_SEASON,4.0,Olympique Lyonnais,Paris Saint-Germain FC,1,4,A,,FL1,existing_project_data
441816,2023-09-15,BL1,2023,REGULAR_SEASON,4.0,FC Bayern München,Bayer 04 Leverkusen,2,2,D,,BL1,existing_project_data
441830,2023-09-23,BL1,2023,REGULAR_SEASON,5.0,Borussia Mönchengladbach,RB Leipzig,0,1,A,,BL1,existing_project_data
438524,2023-09-24,PD,2023,REGULAR_SEASON,6.0,Club Atlético de Madrid,Real Madrid CF,3,1,H,,PD,existing_project_data
444318,2023-09-30,SA,2023,REGULAR_SEASON,7.0,AC Milan,SS Lazio,2,0,H,,SA,existing_project_data
441536,2023-09-30,DED,2023,REGULAR_SEASON,7.0,Feyenoord Rotterdam,Go Ahead Eagles,3,1,H,,DED,existing_project_data
441834,2023-09-30,BL1,2023,REGULAR_SEASON,6.0,RB Leipzig,FC Bayern München,2,2,D,,BL1,existing_project_data
441562,2023-10-22,DED,2023,REGULAR_SEASON,9.0,Go Ahead Eagles,Sparta Rotterdam,0,0,D,,DED,existing_project_data
438577,2023-10-28,PD,2023,REGULAR_SEASON,11.0,FC Barcelona,Real Madrid CF,1,2,A,,PD,existing_project_data
441864,2023-10-29,BL1,2023,REGULAR_SEASON,9.0,Eintracht Frankfurt,Borussia Dortmund,3,3,D,,BL1,existing_project_data
441870,2023-11-04,BL1,2023,REGULAR_SEASON,10.0,Borussia Dortmund,FC Bayern München,0,4,A,,BL1,existing_project_data
444368,2023-11-12,SA,2023,REGULAR_SEASON,12.0,SS Lazio,AS Roma,0,0,D,,SA,existing_project_data
