league,league_key,season,url,status,matches,error
Premier League,premier_league,2016-17,https://www.football-data.co.uk/mmz4281/1617/E0.csv,OK,380,
Premier League,premier_league,2017-18,https://www.football-data.co.uk/mmz4281/1718/E0.csv,OK,380,
Premier League,premier_league,2018-19,https://www.football-data.co.uk/mmz4281/1819/E0.csv,OK,380,
Premier League,premier_league,2019-20,https://www.football-data.co.uk/mmz4281/1920/E0.csv,OK,380,
Premier League,premier_league,2020-21,https://www.football-data.co.uk/mmz4281/2021/E0.csv,OK,380,
Premier League,premier_league,2021-22,https://www.football-data.co.uk/mmz4281/2122/E0.csv,OK,380,
Premier League,premier_league,2022-23,https://www.football-data.co.uk/mmz4281/2223/E0.csv,OK,380,
Premier League,premier_league,2023-24,https://www.football-data.co.uk/mmz4281/2324/E0.csv,OK,380,
Premier League,premier_league,2024-25,https://www.football-data.co.uk/mmz4281/2425/E0.csv,OK,380,
Premier League,premier_league,2025-26,https://www.football-data.co.uk/mmz4281/2526/E0.csv,OK,380,
EFL Championship,championship,2016-17,https://www.football-data.co.uk/mmz4281/1617/E1.csv,OK,552,
EFL Championship,championship,2017-18,https://www.football-data.co.uk/mmz4281/1718/E1.csv,OK,552,
EFL Championship,championship,2018-19,https://www.football-data.co.uk/mmz4281/1819/E1.csv,OK,552,
EFL Championship,championship,2019-20,https://www.football-data.co.uk/mmz4281/1920/E1.csv,OK,552,
EFL Championship,championship,2020-21,https://www.football-data.co.uk/mmz4281/2021/E1.csv,OK,552,
EFL Championship,championship,2021-22,https://www.football-data.co.uk/mmz4281/2122/E1.csv,OK,552,
EFL Championship,championship,2022-23,https://www.football-data.co.uk/mmz4281/2223/E1.csv,OK,552,
EFL Championship,championship,2023-24,https://www.football-data.co.uk/mmz4281/2324/E1.csv,OK,552,
EFL Championship,championship,2024-25,https://www.football-data.co.uk/mmz4281/2425/E1.csv,OK,552,
EFL Championship,championship,2025-26,https://www.football-data.co.uk/mmz4281/2526/E1.csv,OK,552,
Bundesliga,bundesliga,2016-17,https://www.football-data.co.uk/mmz4281/1617/D1.csv,OK,306,
Bundesliga,bundesliga,2017-18,https://www.football-data.co.uk/mmz4281/1718/D1.csv,OK,306,
Bundesliga,bundesliga,2018-19,https://www.football-data.co.uk/mmz4281/1819/D1.csv,OK,306,
Bundesliga,bundesliga,2019-20,https://www.football-data.co.uk/mmz4281/1920/D1.csv,OK,306,
Bundesliga,bundesliga,2020-21,https://www.football-data.co.uk/mmz4281/2021/D1.csv,OK,306,
Bundesliga,bundesliga,2021-22,https://www.football-data.co.uk/mmz4281/2122/D1.csv,OK,306,
Bundesliga,bundesliga,2022-23,https://www.football-data.co.uk/mmz4281/2223/D1.csv,OK,306,
Bundesliga,bundesliga,2023-24,https://www.football-data.co.uk/mmz4281/2324/D1.csv,OK,306,
