match_id,date,competition,season,stage,matchday,home_team,away_team,home_goals,away_goals,winner,country,league_name,data_source
league_21e62749ef8f8994,2016-08-05,EREDIVISIE,2016-17,LEAGUE,,Nijmegen,Zwolle,1,1,D,Netherlands,Eredivisie,football-data.co.uk
league_8b275dfc5d212388,2016-08-06,EREDIVISIE,2016-17,LEAGUE,,Den Haag,Go Ahead Eagles,3,0,H,Netherlands,Eredivisie,football-data.co.uk
league_3bd5e9e5d945a6cd,2016-08-06,EREDIVISIE,2016-17,LEAGUE,,Twente,Excelsior,1,2,A,Netherlands,Eredivisie,football-data.co.uk
league_3f1a38c031b215d2,2016-08-06,EREDIVISIE,2016-17,LEAGUE,,Utrecht,PSV Eindhoven,1,2,A,Netherlands,Eredivisie,football-data.co.uk
league_c5e7f2ab07c0b727,2016-08-06,EREDIVISIE,2016-17,LEAGUE,,Willem II,Vitesse,1,4,A,Netherlands,Eredivisie,football-data.co.uk
league_af4a2b6b47fb53b6,2016-08-07,EREDIVISIE,2016-17,LEAGUE,,AZ Alkmaar,Heerenveen,2,2,D,Netherlands,Eredivisie,football-data.co.uk
league_cd91cd6fd4c81213,2016-08-07,EREDIVISIE,2016-17,LEAGUE,,Groningen,Feyenoord Rotterdam,0,5,A,Netherlands,Eredivisie,football-data.co.uk
league_b20e0f959c5f646f,2016-08-07,EREDIVISIE,2016-17,LEAGUE,,Roda,Heracles,1,1,D,Netherlands,Eredivisie,football-data.co.uk
league_01917387402102ea,2016-08-07,EREDIVISIE,2016-17,LEAGUE,,Sparta Rotterdam,Ajax,1,3,A,Netherlands,Eredivisie,football-data.co.uk
league_df2f76b96df93194,2016-08-12,EREDIVISIE,2016-17,LEAGUE,,Heerenveen,Utrecht,2,2,D,Netherlands,Eredivisie,football-data.co.uk
league_c0a6cc93fb129bc5,2016-08-13,EREDIVISIE,2016-17,LEAGUE,,Ajax,Roda,2,2,D,Netherlands,Eredivisie,football-data.co.uk
