match_id,date,competition,season,stage,matchday,home_team,away_team,home_goals,away_goals,winner,country,league_name,data_source
league_28c66c2e1256188a,2016-08-12,LIGUE_1,2016-17,LEAGUE,,AS Monaco,Guingamp,2,2,D,France,Ligue 1,football-data.co.uk
league_167cea18cf5f221a,2016-08-12,LIGUE_1,2016-17,LEAGUE,,Bastia,Paris Saint-Germain FC,0,1,A,France,Ligue 1,football-data.co.uk
league_ad4c2c5a2e0d2f03,2016-08-13,LIGUE_1,2016-17,LEAGUE,,Bordeaux,AS Saint-Étienne,3,2,H,France,Ligue 1,football-data.co.uk
league_60dac6e043a9574c,2016-08-13,LIGUE_1,2016-17,LEAGUE,,Caen,Lorient,3,2,H,France,Ligue 1,football-data.co.uk
league_e374d06944a8081c,2016-08-13,LIGUE_1,2016-17,LEAGUE,,Dijon,Nantes,0,1,A,France,Ligue 1,football-data.co.uk
league_cc899e8ef91ee836,2016-08-13,LIGUE_1,2016-17,LEAGUE,,Metz,Lille,3,2,H,France,Ligue 1,football-data.co.uk
league_04fda7e1598a9924,2016-08-13,LIGUE_1,2016-17,LEAGUE,,Montpellier,Angers,1,0,H,France,Ligue 1,football-data.co.uk
league_ea56e785ada18bca,2016-08-14,LIGUE_1,2016-17,LEAGUE,,Nancy,Olympique Lyonnais,0,3,A,France,Ligue 1,football-data.co.uk
league_24eb198f90dd1d6f,2016-08-14,LIGUE_1,2016-17,LEAGUE,,Nice,Rennes,1,0,H,France,Ligue 1,football-data.co.uk
league_b8db2639881f8954,2016-08-14,LIGUE_1,2016-17,LEAGUE,,Olympique Marseille,Toulouse,0,0,D,France,Ligue 1,football-data.co.uk
league_6f2a072ca80e425a,2016-08-19,LIGUE_1,2016-17,LEAGUE,,Olympique Lyonnais,Caen,2,0,H,France,Ligue 1,football-data.co.uk
league_cb897c4e1cae8097,2016-08-20,LIGUE_1,2016-17,LEAGUE,,Angers,Nice,0,1,A,France,Ligue 1,football-data.co.uk
league_ccce4bf5d40e530c,2016-08-20,LIGUE_1,2016-17,LEAGUE,,Lille,Dijon,1,0,H,France,Ligue 1,football-data.co.uk
league_fd470c2babb9b17d,2016-08-20,LIGUE_1,2016-17,LEAGUE,,Lorient,Bastia,0,3,A,France,Ligue 1,football-data.co.uk
league_3d7b71267a90d271,2016-08-20,LIGUE_1,2016-17,LEAGUE,,Nantes,AS Monaco,0,1,A,France,Ligue 1,football-data.co.uk
league_a9197748d49ccc97,2016-08-20,LIGUE_1,2016-17,LEAGUE,,Rennes,Nancy,2,0,H,France,Ligue 1,football-data.co.uk
league_d89a29eecc22b8e1,2016-08-20,LIGUE_1,2016-17,LEAGUE,,Toulouse,Bordeaux,4,1,H,France,Ligue 1,football-data.co.uk
league_cf6bcb66f16d33a3,2016-08-21,LIGUE_1,2016-17,LEAGUE,,AS Saint-Étienne,Montpellier,3,1,H,France,Ligue 1,football-data.co.uk
league_1ca4309126b49e1b,2016-08-21,LIGUE_1,2016-17,LEAGUE,,Guingamp,Olympique Marseille,2,1,H,France,Ligue 1,football-data.co.uk
league_ece32bfbe95b6fa4,2016-08-21,LIGUE_1,2016-17,LEAGUE,,Paris Saint-Germain FC,Metz,3,0,H,France,Ligue 1,football-data.co.uk
league_554d978cc932eef6,2016-08-26,LIGUE_1,2016-17,LEAGUE,,Olympique Marseille,Lorient,2,0,H,France,Ligue 1,football-data.co.uk
league_0b45f2674bb3349d,2016-08-27,LIGUE_1,2016-17,LEAGUE,,Caen,Bastia,2,0,H,France,Ligue 1,football-data.co.uk
league_e17fb0646f302e03,2016-08-27,LIGUE_1,2016-17,LEAGUE,,Dijon,Olympique Lyonnais,4,2,H,France,Ligue 1,football-data.co.uk
league_7f629009e29aa11d,2016-08-27,LIGUE_1,2016-17,LEAGUE,,Metz,Angers,2,0,H,France,Ligue 1,football-data.co.uk
league_219aaada854bbd87,2016-08-27,LIGUE_1,2016-17,LEAGUE,,Montpellier,Rennes,1,1,D,France,Ligue 1,football-data.co.uk
league_49534d92d8b6d3e4,2016-08-27,LIGUE_1,2016-17,LEAGUE,,Nancy,Guingamp,0,2,A,France,Ligue 1,football-data.co.uk
league_0df2e83ea7343fa7,2016-08-27,LIGUE_1,2016-17,LEAGUE,,Nice,Lille,1,1,D,France,Ligue 1,football-data.co.uk
league_3cd55278805f0719,2016-08-28,LIGUE_1,2016-17,LEAGUE,,AS Monaco,Paris Saint-Germain FC,3,1,H,France,Ligue 1,football-data.co.uk
league_774431d814fe831c,2016-08-28,LIGUE_1,2016-17,LEAGUE,,AS Saint-Étienne,Toulouse,0,0,D,France,Ligue 1,football-data.co.uk
league_3b7851c291b9f737,2016-08-28,LIGUE_1,2016-17,LEAGUE,,Bordeaux,Nantes,1,0,H,France,Ligue 1,football-data.co.uk
league_18edcebaadff2e97,2016-09-09,LIGUE_1,2016-17,LEAGUE,,Paris Saint-Germain FC,AS Saint-Étienne,1,1,D,France,Ligue 1,football-data.co.uk
league_7b0ab8b451a02065,2016-09-10,LIGUE_1,2016-17,LEAGUE,,Angers,Dijon,3,1,H,France,Ligue 1,football-data.co.uk
league_00531b54365d0202,2016-09-10,LIGUE_1,2016-17,LEAGUE,,Bastia,Toulouse,2,1,H,France,Ligue 1,football-data.co.uk
league_467c0e03fa802189,2016-09-10,LIGUE_1,2016-17,LEAGUE,,Guingamp,Montpellier,1,1,D,France,Ligue 1,football-data.co.uk
league_8383673981ef6f5c,2016-09-10,LIGUE_1,2016-17,LEAGUE,,Lille,AS Monaco,1,4,A,France,Ligue 1,football-data.co.uk
league_de20af39f5722a5f,2016-09-10,LIGUE_1,2016-17,LEAGUE,,Lorient,Nancy,0,2,A,France,Ligue 1,football-data.co.uk
league_d4b721496880d5e4,2016-09-10,LIGUE_1,2016-17,LEAGUE,,Olympique Lyonnais,Bordeaux,1,3,A,France,Ligue 1,football-data.co.uk
league_e6588d4c300dac29,2016-09-11,LIGUE_1,2016-17,LEAGUE,,Nantes,Metz,0,3,A,France,Ligue 1,football-data.co.uk
league_276102ff6e18eef3,2016-09-11,LIGUE_1,2016-17,LEAGUE,,Nice,Olympique Marseille,3,2,H,France,Ligue 1,football-data.co.uk
league_973c15892d903aa8,2016-09-11,LIGUE_1,2016-17,LEAGUE,,Rennes,Caen,2,0,H,France,Ligue 1,football-data.co.uk
league_5c9018fe3baccc88,2016-09-16,LIGUE_1,2016-17,LEAGUE,,Caen,Paris Saint-Germain FC,0,6,A,France,Ligue 1,football-data.co.uk
league_97c6892457474159,2016-09-17,LIGUE_1,2016-17,LEAGUE,,AS Monaco,Rennes,3,0,H,France,Ligue 1,football-data.co.uk
league_a6c5562bf28d4940,2016-09-17,LIGUE_1,2016-17,LEAGUE,,Bordeaux,Angers,0,1,A,France,Ligue 1,football-data.co.uk
league_108d0d8aec6b0a4a,2016-09-17,LIGUE_1,2016-17,LEAGUE,,Dijon,Metz,0,0,D,France,Ligue 1,football-data.co.uk
league_8c35263841cf49ce,2016-09-17,LIGUE_1,2016-17,LEAGUE,,Lorient,Lille,1,0,H,France,Ligue 1,football-data.co.uk
league_532d50a464cf9d5a,2016-09-17,LIGUE_1,2016-17,LEAGUE,,Nancy,Nantes,1,1,D,France,Ligue 1,football-data.co.uk
league_9fc2f6550a721628,2016-09-17,LIGUE_1,2016-17,LEAGUE,,Toulouse,Guingamp,2,1,H,France,Ligue 1,football-data.co.uk
league_8caae30064fe3354,2016-09-18,LIGUE_1,2016-17,LEAGUE,,AS Saint-Étienne,Bastia,1,0,H,France,Ligue 1,football-data.co.uk
league_f88893066bf303cd,2016-09-18,LIGUE_1,2016-17,LEAGUE,,Montpellier,Nice,1,1,D,France,Ligue 1,football-data.co.uk
league_62d8c1d93e1b8929,2016-09-18,LIGUE_1,2016-17,LEAGUE,,Olympique Marseille,Olympique Lyonnais,0,0,D,France,Ligue 1,football-data.co.uk
league_c16290a09b4d04e2,2016-09-20,LIGUE_1,2016-17,LEAGUE,,Lille,Toulouse,1,2,A,France,Ligue 1,football-data.co.uk
league_f8f2139e04f4883f,2016-09-20,LIGUE_1,2016-17,LEAGUE,,Paris Saint-Germain FC,Dijon,3,0,H,France,Ligue 1,football-data.co.uk
league_0dc933165c17ee53,2016-09-21,LIGUE_1,2016-17,LEAGUE,,Angers,Caen,2,1,H,France,Ligue 1,football-data.co.uk
league_fd6a38b22ccc9e5b,2016-09-21,LIGUE_1,2016-17,LEAGUE,,Bastia,Nancy,0,0,D,France,Ligue 1,football-data.co.uk
league_96cd8b29b2fd109b,2016-09-21,LIGUE_1,2016-17,LEAGUE,,Guingamp,Lorient,1,0,H,France,Ligue 1,football-data.co.uk
league_abd4500be527ddea,2016-09-21,LIGUE_1,2016-17,LEAGUE,,Metz,Bordeaux,0,3,A,France,Ligue 1,football-data.co.uk
league_3e41580b59d40f2a,2016-09-21,LIGUE_1,2016-17,LEAGUE,,Nantes,AS Saint-Étienne,0,0,D,France,Ligue 1,football-data.co.uk
league_63551a580e95dae1,2016-09-21,LIGUE_1,2016-17,LEAGUE,,Nice,AS Monaco,4,0,H,France,Ligue 1,football-data.co.uk
league_5fda3be5e5fba267,2016-09-21,LIGUE_1,2016-17,LEAGUE,,Olympique Lyonnais,Montpellier,5,1,H,France,Ligue 1,football-data.co.uk
league_6f9635270caa5c34,2016-09-21,LIGUE_1,2016-17,LEAGUE,,Rennes,Olympique Marseille,3,2,H,France,Ligue 1,football-data.co.uk
league_2821f6e9db157087,2016-09-23,LIGUE_1,2016-17,LEAGUE,,Toulouse,Paris Saint-Germain FC,2,0,H,France,Ligue 1,football-data.co.uk
league_45aabd1ab0cdfa3f,2016-09-24,LIGUE_1,2016-17,LEAGUE,,AS Monaco,Angers,2,1,H,France,Ligue 1,football-data.co.uk
league_6844c6f08acb023d,2016-09-24,LIGUE_1,2016-17,LEAGUE,,Bastia,Guingamp,1,0,H,France,Ligue 1,football-data.co.uk
league_47230c2e72bf3dbd,2016-09-24,LIGUE_1,2016-17,LEAGUE,,Bordeaux,Caen,0,0,D,France,Ligue 1,football-data.co.uk
league_42e52d85ab2b9210,2016-09-24,LIGUE_1,2016-17,LEAGUE,,Dijon,Rennes,3,0,H,France,Ligue 1,football-data.co.uk
