match_id,date,competition,season,stage,matchday,home_team,away_team,home_goals,away_goals,winner,country,league_name,data_source
league_5faa3b23e5996fa1,2016-08-12,PRIMEIRA_LIGA,2016-17,LEAGUE,,Rio Ave,FC Porto,1,3,A,Portugal,Primeira Liga,football-data.co.uk
league_70df0011ef86a208,2016-08-13,PRIMEIRA_LIGA,2016-17,LEAGUE,,Moreirense,Pacos Ferreira,1,1,D,Portugal,Primeira Liga,football-data.co.uk
league_45064c45916dad12,2016-08-13,PRIMEIRA_LIGA,2016-17,LEAGUE,,Sporting CP,Maritimo,2,0,H,Portugal,Primeira Liga,football-data.co.uk
league_e288f30d7fdc7c35,2016-08-13,PRIMEIRA_LIGA,2016-17,LEAGUE,,Tondela,Benfica,0,2,A,Portugal,Primeira Liga,football-data.co.uk
league_30dc337ce6e331ec,2016-08-14,PRIMEIRA_LIGA,2016-17,LEAGUE,,Boavista,Arouca,2,0,H,Portugal,Primeira Liga,football-data.co.uk
league_1b6e4031150e89ea,2016-08-14,PRIMEIRA_LIGA,2016-17,LEAGUE,,Guimaraes,Sp Braga,0,1,A,Portugal,Primeira Liga,football-data.co.uk
league_1ed262846be8eddd,2016-08-14,PRIMEIRA_LIGA,2016-17,LEAGUE,,Setubal,Belenenses,2,0,H,Portugal,Primeira Liga,football-data.co.uk
league_0255b0566c65d8d4,2016-08-15,PRIMEIRA_LIGA,2016-17,LEAGUE,,Estoril,Feirense,0,2,A,Portugal,Primeira Liga,football-data.co.uk
league_d8d17218dc1dbb02,2016-08-19,PRIMEIRA_LIGA,2016-17,LEAGUE,,Belenenses,Boavista,0,0,D,Portugal,Primeira Liga,football-data.co.uk
league_e2fe151c6c072640,2016-08-20,PRIMEIRA_LIGA,2016-17,LEAGUE,,Chaves,Tondela,1,1,D,Portugal,Primeira Liga,football-data.co.uk
league_6c7236c12f383b37,2016-08-20,PRIMEIRA_LIGA,2016-17,LEAGUE,,FC Porto,Estoril,1,0,H,Portugal,Primeira Liga,football-data.co.uk
league_5289c3d0460bd990,2016-08-20,PRIMEIRA_LIGA,2016-17,LEAGUE,,Maritimo,Guimaraes,0,2,A,Portugal,Primeira Liga,football-data.co.uk
league_1619db444a61dffc,2016-08-20,PRIMEIRA_LIGA,2016-17,LEAGUE,,Pacos Ferreira,Sporting CP,0,1,A,Portugal,Primeira Liga,football-data.co.uk
league_33b519b54cd77ff5,2016-08-21,PRIMEIRA_LIGA,2016-17,LEAGUE,,Arouca,Nacional,2,0,H,Portugal,Primeira Liga,football-data.co.uk
league_e2b5f0d43b726f19,2016-08-21,PRIMEIRA_LIGA,2016-17,LEAGUE,,Benfica,Setubal,1,1,D,Portugal,Primeira Liga,football-data.co.uk
league_c6bcca6f55074205,2016-08-21,PRIMEIRA_LIGA,2016-17,LEAGUE,,Feirense,Moreirense,0,3,A,Portugal,Primeira Liga,football-data.co.uk
league_cdd81a0b0c9db4a2,2016-08-22,PRIMEIRA_LIGA,2016-17,LEAGUE,,Sp Braga,Rio Ave,1,1,D,Portugal,Primeira Liga,football-data.co.uk
league_66ce9e08ed78216d,2016-08-26,PRIMEIRA_LIGA,2016-17,LEAGUE,,Guimaraes,Pacos Ferreira,5,3,H,Portugal,Primeira Liga,football-data.co.uk
league_0ca43a56ddc8c5a7,2016-08-27,PRIMEIRA_LIGA,2016-17,LEAGUE,,Estoril,Sp Braga,1,3,A,Portugal,Primeira Liga,football-data.co.uk
league_7992fbdc730661be,2016-08-27,PRIMEIRA_LIGA,2016-17,LEAGUE,,Nacional,Benfica,1,3,A,Portugal,Primeira Liga,football-data.co.uk
league_2ae9222169048371,2016-08-27,PRIMEIRA_LIGA,2016-17,LEAGUE,,Tondela,Belenenses,0,1,A,Portugal,Primeira Liga,football-data.co.uk
league_53e4e456022d719c,2016-08-28,PRIMEIRA_LIGA,2016-17,LEAGUE,,Boavista,Chaves,2,2,D,Portugal,Primeira Liga,football-data.co.uk
league_4c14ee0a923e018f,2016-08-28,PRIMEIRA_LIGA,2016-17,LEAGUE,,Moreirense,Maritimo,0,1,A,Portugal,Primeira Liga,football-data.co.uk
