match_id,date,competition,season,stage,matchday,home_team,away_team,home_goals,away_goals,winner,country,league_name,data_source
league_71027af35efadd6a,2016-08-20,SERIE_A,2016-17,LEAGUE,,AS Roma,Udinese,4,0,H,Italy,Serie A,football-data.co.uk
league_560036210e45a8cf,2016-08-20,SERIE_A,2016-17,LEAGUE,,Juventus,Fiorentina,2,1,H,Italy,Serie A,football-data.co.uk
league_3d435bc51862815d,2016-08-21,SERIE_A,2016-17,LEAGUE,,AC Milan,Torino,3,2,H,Italy,Serie A,football-data.co.uk
league_3c8d3275b6ae7c61,2016-08-21,SERIE_A,2016-17,LEAGUE,,Atalanta,SS Lazio,3,4,A,Italy,Serie A,football-data.co.uk
league_d3035399b59e3867,2016-08-21,SERIE_A,2016-17,LEAGUE,,Bologna,Crotone,1,0,H,Italy,Serie A,football-data.co.uk
league_128569e7fe8bc846,2016-08-21,SERIE_A,2016-17,LEAGUE,,Chievo,Inter Milan,2,0,H,Italy,Serie A,football-data.co.uk
league_1d36693dba610a7e,2016-08-21,SERIE_A,2016-17,LEAGUE,,Empoli,Sampdoria,0,1,A,Italy,Serie A,football-data.co.uk
league_dfc12ae076a6d42c,2016-08-21,SERIE_A,2016-17,LEAGUE,,Genoa,Cagliari,3,1,H,Italy,Serie A,football-data.co.uk
league_c826dea78db7601a,2016-08-21,SERIE_A,2016-17,LEAGUE,,Palermo,Sassuolo,0,1,A,Italy,Serie A,football-data.co.uk
league_e7d9cf49a666227d,2016-08-21,SERIE_A,2016-17,LEAGUE,,Pescara,Napoli,2,2,D,Italy,Serie A,football-data.co.uk
league_2cf044701741cb20,2016-08-27,SERIE_A,2016-17,LEAGUE,,Napoli,AC Milan,4,2,H,Italy,Serie A,football-data.co.uk
league_abaa932a79f72983,2016-08-27,SERIE_A,2016-17,LEAGUE,,SS Lazio,Juventus,0,1,A,Italy,Serie A,football-data.co.uk
league_0e1f3fb86374e3ea,2016-08-28,SERIE_A,2016-17,LEAGUE,,Cagliari,AS Roma,2,2,D,Italy,Serie A,football-data.co.uk
league_0a5d91b6d45a9142,2016-08-28,SERIE_A,2016-17,LEAGUE,,Crotone,Genoa,1,3,A,Italy,Serie A,football-data.co.uk
league_8fba2b1b56e338ca,2016-08-28,SERIE_A,2016-17,LEAGUE,,Fiorentina,Chievo,1,0,H,Italy,Serie A,football-data.co.uk
league_0b855d62cd5aac3d,2016-08-28,SERIE_A,2016-17,LEAGUE,,Inter Milan,Palermo,1,1,D,Italy,Serie A,football-data.co.uk
league_4c0e6200fedc30f4,2016-08-28,SERIE_A,2016-17,LEAGUE,,Sampdoria,Atalanta,2,1,H,Italy,Serie A,football-data.co.uk
league_28d0f652b50a68de,2016-08-28,SERIE_A,2016-17,LEAGUE,,Sassuolo,Pescara,0,3,A,Italy,Serie A,football-data.co.uk
league_f0cb34df5aac0ec5,2016-08-28,SERIE_A,2016-17,LEAGUE,,Torino,Bologna,5,1,H,Italy,Serie A,football-data.co.uk
league_052634d128d00e05,2016-08-28,SERIE_A,2016-17,LEAGUE,,Udinese,Empoli,2,0,H,Italy,Serie A,football-data.co.uk
league_d8f86487f94c994c,2016-09-10,SERIE_A,2016-17,LEAGUE,,Juventus,Sassuolo,3,1,H,Italy,Serie A,football-data.co.uk
league_327ea3d247a82df1,2016-09-10,SERIE_A,2016-17,LEAGUE,,Palermo,Napoli,0,3,A,Italy,Serie A,football-data.co.uk
league_a8e9f0fe0dbc9e81,2016-09-11,SERIE_A,2016-17,LEAGUE,,AC Milan,Udinese,0,1,A,Italy,Serie A,football-data.co.uk
league_16d7b388885bcfab,2016-09-11,SERIE_A,2016-17,LEAGUE,,AS Roma,Sampdoria,3,2,H,Italy,Serie A,football-data.co.uk
league_bc4d12756cba5746,2016-09-11,SERIE_A,2016-17,LEAGUE,,Atalanta,Torino,2,1,H,Italy,Serie A,football-data.co.uk
league_9e1e6a9ccc191bfe,2016-09-11,SERIE_A,2016-17,LEAGUE,,Bologna,Cagliari,2,1,H,Italy,Serie A,football-data.co.uk
league_e2c2cb0966eb5181,2016-09-11,SERIE_A,2016-17,LEAGUE,,Chievo,SS Lazio,1,1,D,Italy,Serie A,football-data.co.uk
league_468d657265ce0f99,2016-09-11,SERIE_A,2016-17,LEAGUE,,Pescara,Inter Milan,1,2,A,Italy,Serie A,football-data.co.uk
league_5bdd1c51900b9d23,2016-09-12,SERIE_A,2016-17,LEAGUE,,Empoli,Crotone,2,1,H,Italy,Serie A,football-data.co.uk
league_47728aa25b5b20cc,2016-09-16,SERIE_A,2016-17,LEAGUE,,Sampdoria,AC Milan,0,1,A,Italy,Serie A,football-data.co.uk
league_5d03050c46bc5718,2016-09-17,SERIE_A,2016-17,LEAGUE,,Napoli,Bologna,3,1,H,Italy,Serie A,football-data.co.uk
league_ab0ab22fc82258f7,2016-09-17,SERIE_A,2016-17,LEAGUE,,SS Lazio,Pescara,3,0,H,Italy,Serie A,football-data.co.uk
league_abcc657d7c8f9f0c,2016-09-18,SERIE_A,2016-17,LEAGUE,,Cagliari,Atalanta,3,0,H,Italy,Serie A,football-data.co.uk
league_f2185713f2f09dd0,2016-09-18,SERIE_A,2016-17,LEAGUE,,Crotone,Palermo,1,1,D,Italy,Serie A,football-data.co.uk
league_1521ac54b5dceacf,2016-09-18,SERIE_A,2016-17,LEAGUE,,Fiorentina,AS Roma,1,0,H,Italy,Serie A,football-data.co.uk
league_9032ccdd11e5166c,2016-09-18,SERIE_A,2016-17,LEAGUE,,Inter Milan,Juventus,2,1,H,Italy,Serie A,football-data.co.uk
league_0b5211f125abaf42,2016-09-18,SERIE_A,2016-17,LEAGUE,,Sassuolo,Genoa,2,0,H,Italy,Serie A,football-data.co.uk
league_b69e2fad4e64bc3f,2016-09-18,SERIE_A,2016-17,LEAGUE,,Torino,Empoli,0,0,D,Italy,Serie A,football-data.co.uk
league_cc821c4892fc6ef6,2016-09-18,SERIE_A,2016-17,LEAGUE,,Udinese,Chievo,1,2,A,Italy,Serie A,football-data.co.uk
league_018b5638b31afc77,2016-09-20,SERIE_A,2016-17,LEAGUE,,AC Milan,SS Lazio,2,0,H,Italy,Serie A,football-data.co.uk
league_c30b0920a9608b26,2016-09-21,SERIE_A,2016-17,LEAGUE,,AS Roma,Crotone,4,0,H,Italy,Serie A,football-data.co.uk
league_561fcec44ab6b13f,2016-09-21,SERIE_A,2016-17,LEAGUE,,Atalanta,Palermo,0,1,A,Italy,Serie A,football-data.co.uk
league_a8923b5c4130a0de,2016-09-21,SERIE_A,2016-17,LEAGUE,,Bologna,Sampdoria,2,0,H,Italy,Serie A,football-data.co.uk
league_acfb13fc1b396891,2016-09-21,SERIE_A,2016-17,LEAGUE,,Chievo,Sassuolo,2,1,H,Italy,Serie A,football-data.co.uk
league_912eb1ba4d874f07,2016-09-21,SERIE_A,2016-17,LEAGUE,,Empoli,Inter Milan,0,2,A,Italy,Serie A,football-data.co.uk
league_6c8d189552c810a0,2016-09-21,SERIE_A,2016-17,LEAGUE,,Genoa,Napoli,0,0,D,Italy,Serie A,football-data.co.uk
league_42f7e14ce37f6f4b,2016-09-21,SERIE_A,2016-17,LEAGUE,,Juventus,Cagliari,4,0,H,Italy,Serie A,football-data.co.uk
league_8b144afa84f22306,2016-09-21,SERIE_A,2016-17,LEAGUE,,Pescara,Torino,0,0,D,Italy,Serie A,football-data.co.uk
league_86700e683d44a904,2016-09-21,SERIE_A,2016-17,LEAGUE,,Udinese,Fiorentina,2,2,D,Italy,Serie A,football-data.co.uk
league_42589004cea7b3a6,2016-09-24,SERIE_A,2016-17,LEAGUE,,Napoli,Chievo,2,0,H,Italy,Serie A,football-data.co.uk
league_5de6afe183b810ed,2016-09-24,SERIE_A,2016-17,LEAGUE,,Palermo,Juventus,0,1,A,Italy,Serie A,football-data.co.uk
league_48a4a2bf785506ff,2016-09-25,SERIE_A,2016-17,LEAGUE,,Fiorentina,AC Milan,0,0,D,Italy,Serie A,football-data.co.uk
league_9f24cbd99eb68b1f,2016-09-25,SERIE_A,2016-17,LEAGUE,,Genoa,Pescara,1,1,D,Italy,Serie A,football-data.co.uk
league_19e0ef8a35dd145a,2016-09-25,SERIE_A,2016-17,LEAGUE,,Inter Milan,Bologna,1,1,D,Italy,Serie A,football-data.co.uk
league_21555592944c1330,2016-09-25,SERIE_A,2016-17,LEAGUE,,SS Lazio,Empoli,2,0,H,Italy,Serie A,football-data.co.uk
league_f6b50f4dd99472b3,2016-09-25,SERIE_A,2016-17,LEAGUE,,Sassuolo,Udinese,1,0,H,Italy,Serie A,football-data.co.uk
league_7e08eef1997ec9e7,2016-09-25,SERIE_A,2016-17,LEAGUE,,Torino,AS Roma,3,1,H,Italy,Serie A,football-data.co.uk
league_b9fc42aa0beddc02,2016-09-26,SERIE_A,2016-17,LEAGUE,,Cagliari,Sampdoria,2,1,H,Italy,Serie A,football-data.co.uk
league_38b58bac36065f62,2016-09-26,SERIE_A,2016-17,LEAGUE,,Crotone,Atalanta,1,3,A,Italy,Serie A,football-data.co.uk
league_02ff1a35a1c8d28d,2016-10-01,SERIE_A,2016-17,LEAGUE,,Pescara,Chievo,0,2,A,Italy,Serie A,football-data.co.uk
league_151563c268035cb2,2016-10-01,SERIE_A,2016-17,LEAGUE,,Udinese,SS Lazio,0,3,A,Italy,Serie A,football-data.co.uk
league_9065b4fe54fb993f,2016-10-02,SERIE_A,2016-17,LEAGUE,,AC Milan,Sassuolo,4,3,H,Italy,Serie A,football-data.co.uk
league_56e7ab041f5b9396,2016-10-02,SERIE_A,2016-17,LEAGUE,,AS Roma,Inter Milan,2,1,H,Italy,Serie A,football-data.co.uk
league_e5020f510a9aeacb,2016-10-02,SERIE_A,2016-17,LEAGUE,,Atalanta,Napoli,1,0,H,Italy,Serie A,football-data.co.uk
league_10048c3d59bbe849,2016-10-02,SERIE_A,2016-17,LEAGUE,,Bologna,Genoa,0,1,A,Italy,Serie A,football-data.co.uk
