date,home_team,away_team,home_goals,away_goals
2024-02-13,RB Leipzig,Real Madrid,0,1
2024-02-14,Lazio,Bayern Munich,1,0
2024-02-20,Inter Milan,Atletico Madrid,1,0
2024-02-21,Porto,Arsenal,1,0
2024-03-05,Bayern Munich,Lazio,3,0
2024-03-06,Real Madrid,RB Leipzig,1,1
2024-03-12,Arsenal,Porto,1,0
2024-03-13,Atletico Madrid,Inter Milan,2,1
2024-04-09,Real Madrid,Manchester City,3,3
2024-04-09,Arsenal,Bayern Munich,2,2
2024-04-10,Atletico Madrid,Borussia Dortmund,2,1
2024-04-10,PSG,Barcelona,2,3
2024-04-16,Barcelona,PSG,1,4
2024-04-16,Borussia Dortmund,Atletico Madrid,4,2
2024-04-17,Bayern Munich,Arsenal,1,0
2024-04-17,Manchester City,Real Madrid,1,1
2024-04-30,Bayern Munich,Real Madrid,2,2
2024-05-01,Borussia Dortmund,PSG,1,0
2024-05-07,PSG,Borussia Dortmund,0,1
2024-05-08,Real Madrid,Bayern Munich,2,1
2024-06-01,Borussia Dortmund,Real Madrid,0,2
2025-02-11,Manchester City,Real Madrid,2,3
2025-02-11,Sporting CP,Borussia Dortmund,0,3
2025-02-12,Celtic,Bayern Munich,1,2
2025-02-12,Feyenoord,AC Milan,1,0
2025-02-18,AC Milan,Feyenoord,1,1
2025-02-18,Bayern Munich,Celtic,1,1
2025-02-19,Real Madrid,Manchester City,3,1
2025-02-19,Borussia Dortmund,Sporting CP,0,0
